City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
193,Chicaman,GT,15.4,-90.7667,72.72,79,100,4.99,light rain
194,Qaanaaq,GL,77.484,-69.3632,-8.54,58,7,2.17,clear sky
195,Danane,CI,7.2596,-8.155,76.55,67,100,0.94,overcast clouds
196,San Patricio,US,28.017,-97.5169,53.46,64,100,9.66,overcast clouds
197,Port Elizabeth,ZA,-33.918,25.5701,62.1,82,0,4.61,clear sky
198,Concordia,AR,-31.393,-58.0209,93.13,30,100,5.1,light rain
199,Port Blair,IN,11.6667,92.75,79.52,79,78,3.98,broken clouds
200,Karasjok,NO,69.4719,25.5112,3.79,82,0,0.85,clear sky
201,Port-Gentil,GA,-0.7193,8.7815,76.96,88,100,2.3,overcast clouds
202,Santiago Del Estero,AR,-27.7951,-64.2615,94.86,31,71,5.57,broken clouds
203,Uray,RU,60.1247,64.7758,8.11,99,97,4.76,overcast clouds
204,Shache,CN,38.4167,77.2406,40.03,23,15,2.64,few clouds
205,Rafraf,TN,37.1904,10.1837,59.32,53,93,35.86,overcast clouds
206,Belyy,RU,55.8402,32.9419,16.97,96,87,3.53,overcast clouds
207,Tocopilla,CL,-22.092,-70.1979,68.58,68,19,6.31,few clouds
208,Aberdeen,GB,57.1437,-2.0981,38.5,93,66,2.3,fog
209,Codrington,AU,-38.2667,141.9667,44.65,81,84,22.48,light rain
210,Ushumun,RU,52.7833,126.5333,9.72,94,100,9.46,light snow
211,Townsville,AU,-19.25,146.8,79.68,89,100,7.76,overcast clouds
212,Torbat-E Jam,IR,35.244,60.6225,52.36,56,7,8.01,clear sky
213,Flinders,AU,-34.5833,150.8552,65.17,50,99,10.0,overcast clouds
214,Puerto Ayora,EC,-0.7393,-90.3518,76.96,94,100,7.0,overcast clouds
215,Aitape,PG,-3.1374,142.3475,76.28,89,99,4.36,overcast clouds
216,Chancay,PE,-11.5714,-77.2672,67.46,74,100,6.71,overcast clouds
217,Samarai,PG,-10.6167,150.6667,83.16,78,78,13.56,broken clouds
218,Mahebourg,MU,-20.4081,57.7,75.49,78,75,3.44,broken clouds
219,Ancud,CL,-41.8697,-73.8203,56.91,51,1,7.45,clear sky
220,Winnemucca,US,40.973,-117.7357,40.48,29,50,1.28,scattered clouds
221,Uglekamensk,RU,43.2172,133.2303,37.51,95,99,3.78,light rain
222,Bowen,AU,-20.0167,148.2333,79.7,83,95,9.33,overcast clouds
223,Bud,US,39.447,-86.1758,34.68,30,5,7.16,clear sky
224,Kyaiklat,MM,16.4333,95.7333,73.69,70,1,5.73,clear sky
225,Vung Tau,VN,10.346,107.0843,75.87,91,100,9.13,light rain
226,Micheweni,TZ,-4.9667,39.8333,78.94,87,90,6.71,overcast clouds
227,Dalvik,IS,65.9702,-18.5286,44.53,89,54,10.16,broken clouds
228,Surgut,RU,61.25,73.4167,-17.91,75,0,4.47,clear sky
229,Beyneu,KZ,45.3167,55.2,49.6,80,100,10.36,overcast clouds
230,Kokopo,PG,-4.352,152.2633,77.77,80,100,3.36,overcast clouds
231,Jalu,LY,29.0331,21.5482,69.31,24,100,8.68,overcast clouds
232,Yangliuqing,CN,39.1375,116.9997,46.35,82,100,6.13,overcast clouds
233,Urumqi,CN,43.801,87.6005,25.75,100,100,4.47,mist
234,Muroto,JP,33.2833,134.15,66.09,73,100,6.35,overcast clouds
235,Tiksi,RU,71.6872,128.8694,-13.09,100,96,3.47,overcast clouds
236,La Rioja,ES,42.25,-2.5,42.58,79,100,4.21,overcast clouds
237,Touros,BR,-5.1989,-35.4608,81.72,68,94,16.06,overcast clouds
238,Nanortalik,GL,60.1432,-45.2371,28.08,86,100,11.07,overcast clouds
239,Nicoya,CR,10.1483,-85.452,80.02,81,88,10.2,overcast clouds
240,Adrar,MR,20.5022,-10.0711,75.38,12,0,8.12,clear sky
241,Kaeo,NZ,-35.1,173.7833,63.32,96,100,9.89,overcast clouds
242,Atikokan,CA,48.7555,-91.6216,21.13,83,100,8.72,overcast clouds
243,Yulara,AU,-25.2406,130.9889,68.97,27,100,11.92,overcast clouds
244,Hovd,MN,48.0056,91.6419,22.39,60,23,6.02,few clouds
245,Tessalit,ML,20.1986,1.0114,75.67,12,100,8.48,overcast clouds
246,Russell,US,32.3502,-85.1999,45.97,36,0,10.36,clear sky
247,Shelburne,CA,44.0787,-80.2041,20.91,80,38,19.33,scattered clouds
248,Mazsalaca,LV,57.8633,25.0547,18.95,91,64,9.19,broken clouds
249,Sisimiut,GL,66.9395,-53.6735,23.76,91,100,18.86,light snow
250,Puro,PH,12.4841,123.3827,79.16,87,98,7.27,overcast clouds
251,Yerbogachen,RU,61.2767,108.0108,-1.07,87,100,7.56,overcast clouds
