City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
157,Salalah,OM,77.09,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
159,Sumenep,ID,78.44,overcast clouds,-7.0167,113.8667,Family Nur Hotel
161,Whithorn,JM,82.44,broken clouds,18.2604,-78.0378,Sunset Heal
163,Ano Mera,GR,70.43,overcast clouds,37.45,25.4,Hotel La Résidence Mykonos
166,Farafangana,MG,76.15,light rain,-22.8167,47.8333,Miarina
169,Tomatlan,MX,89.1,overcast clouds,19.9333,-105.25,El Salvial
170,Lompoc,US,70.7,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
171,Aswan,EG,75.15,clear sky,24.0934,32.907,Nuba Nile
174,Progreso,MX,81.1,broken clouds,21.2833,-89.6667,Playa Linda Hotel
179,Pandan,PH,79.32,overcast clouds,14.0453,124.1694,Bonifacio Lodge
180,Chuy,UY,80.06,broken clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
184,Hobyo,SO,81.28,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
186,Sampit,ID,74.26,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
192,Hambantota,LK,76.6,clear sky,6.1241,81.1185,Bungalow 63
193,Chicaman,GT,72.72,light rain,15.4,-90.7667,"Las Pacayas, Uspantan El Quiché"
195,Danane,CI,76.55,overcast clouds,7.2596,-8.155,Lmd
199,Port Blair,IN,79.52,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Port Blair - Premium Hotel Near the Airport | Idyllic Island Experience Vacation"
201,Port-Gentil,GA,76.96,overcast clouds,-0.7193,8.7815,Fengshui Residence
211,Townsville,AU,79.68,overcast clouds,-19.25,146.8,Rydges Southbank Townsville
214,Puerto Ayora,EC,76.96,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
217,Samarai,PG,83.16,broken clouds,-10.6167,150.6667,Nuli Sapi
218,Mahebourg,MU,75.49,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
222,Bowen,AU,79.7,overcast clouds,-20.0167,148.2333,Castle Motor Lodge Motel
224,Kyaiklat,MM,73.69,clear sky,16.4333,95.7333,Phoe Khwar
225,Vung Tau,VN,75.87,light rain,10.346,107.0843,Seaside Resort
230,Kokopo,PG,77.77,overcast clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
237,Touros,BR,81.72,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
239,Nicoya,CR,80.02,overcast clouds,10.1483,-85.452,Las Cabinas Del Sueño
256,Kismayo,SO,79.14,broken clouds,-0.3582,42.5454,Agan-Hotel
257,Vanimo,PG,77.32,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
259,Miandrivazo,MG,79.16,light rain,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
266,Sao Miguel Do Araguaia,BR,87.71,broken clouds,-13.275,-50.1628,Hotel Executivo Palace
269,Dumabato,PH,70.47,overcast clouds,16.3167,121.7,JBT Mountain View & Recreational Place
275,Kalmunai,LK,73.63,clear sky,7.4167,81.8167,VS Villa
276,Santo Antonio Do Ica,BR,87.33,overcast clouds,-3.1022,-67.9397,HOTEL AMAZON WAY
277,Miri,MY,80.74,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
279,Bilma,NE,74.44,broken clouds,18.6853,12.9164,Expeditions Ténére voyages
287,Vallenar,CL,84.51,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
288,Nhulunbuy,AU,81.21,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
289,Grand-Lahou,CI,78.35,broken clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
291,Hirara,JP,75.72,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
295,Karoi,ZW,80.47,broken clouds,-16.8099,29.6925,Chikangwe Guest houses
299,Tayu,ID,77.65,overcast clouds,-6.5397,111.0518,Toko pakaian bu is Tayu
304,Vao,NC,73.9,scattered clouds,-22.6667,167.4833,Hotel Kou-Bugny
306,Tiarei,PF,80.62,scattered clouds,-17.5333,-149.3333,Le Rocher de Tahiti
307,Buchanan,LR,77.95,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
312,Kavaratti,IN,80.51,broken clouds,10.5669,72.642,Green leaf
313,Meulaboh,ID,75.42,overcast clouds,4.1363,96.1285,Kost Pria
314,Atar,MR,78.08,clear sky,20.5169,-13.0499,Oumou Elghoura
